postime,ID,lon,lat,distance,sog,cog,draught,wind_u,wind_v,Hs,Tp,heading_wave,current_u,current_v
2022-11-04 19:47:58,0_217,115.746682,-32.044075,0.18,3.5,205.0,12.5,-3.0532626513874472,3.7861415212234357,2.077624797821045,9.180320739746094,214.15066183352226,-0.030015029004512802,0.057505619579852736
2022-11-04 19:56:58,0_217,115.733335,-32.05458,0.93,8.6,263.0,12.5,-3.171410618429496,3.8281124452292885,2.077624797821045,9.180320739746094,214.15066183352226,-0.03143192775004066,0.0687138162758303
2022-11-04 20:06:58,0_217,115.700893,-32.048315,1.7,13.4,337.0,12.5,-3.415959038704909,4.073047722316204,2.077624797821045,9.180320739746094,214.15066183352226,-0.0346148026766861,0.08002622936057534
2022-11-04 20:17:00,0_217,115.694013,-32.009243,2.36,14.2,357.0,12.5,-3.5050385950687017,4.083810037801767,2.077624797821045,9.180320739746094,214.15066183352226,-0.03621067396199463,0.05386916275758512
2022-11-04 20:26:15,0_217,115.691625,-31.976163,1.98,11.6,323.0,12.5,-3.5421151914359004,4.030517470071515,2.077624797821045,9.180320739746094,214.15066183352226,-0.02856428177611754,0.046492732199970854
2022-11-04 20:35:35,0_217,115.667178,-31.960123,1.57,9.2,305.0,12.5,-3.7266154730315977,4.181710008555684,2.047778606414795,9.329225540161133,214.47487733883045,-0.022440822167343787,0.0527471967001639
2022-11-04 20:43:15,0_217,115.638543,-31.943152,1.78,13.9,304.0,12.5,-3.9345991753087217,4.369978495652857,2.047778606414795,9.329225540161133,214.47487733883045,-0.018685075334868823,0.053884889290337565
2022-11-04 20:51:20,0_217,115.598582,-31.920208,2.46,18.3,303.0,12.5,-4.217506516287278,4.636622647319644,2.047778606414795,9.329225540161133,214.47487733883045,-0.011089879401210635,0.035443326786128444
2022-11-04 20:59:39,0_217,115.556502,-31.896635,2.57,18.5,304.0,12.5,-4.514678364098934,4.902658734158928,2.047778606414795,9.329225540161133,214.47487733883045,-0.01912234623666259,0.01011662888424454
2022-11-04 21:08:03,0_217,115.5141,-31.872973,2.59,18.5,304.0,12.5,-4.732232009399137,5.18634558512862,2.047778606414795,9.329225540161133,214.47487733883045,-0.017897058304336487,-0.006344762221835885
2022-11-04 21:16:14,0_217,115.472842,-31.849895,2.52,18.5,304.0,12.5,-4.8431110226978875,5.340320106304822,2.0876498960188505,9.566220469639184,214.4296372558713,0.0040876086927470745,-0.018338494874158662
2022-11-04 21:25:33,0_217,115.426193,-31.823597,2.86,18.4,304.0,12.5,-4.925920286038462,5.45008130724559,2.1433255808521925,9.671314910706705,213.87403858499982,0.03131710100135521,-0.01893562496165123
2022-11-04 21:33:51,0_217,115.38469,-31.799772,2.56,18.5,304.0,12.5,-5.010950889801023,5.5476778523200085,2.1930598683609714,9.756760872465593,213.33746063682608,0.03172824402876343,-0.025393898119101265
2022-11-04 21:41:14,0_217,115.347928,-31.778232,2.28,18.5,318.0,12.5,-5.094390138892653,5.633543722670813,2.2372095132496264,9.826351613808619,212.83087946669983,0.03228461811893722,-0.026367317580920226
2022-11-04 21:50:32,0_217,115.314875,-31.7395,2.87,18.5,325.0,12.5,-5.156333667276472,5.655407848608936,2.2773743773680954,9.89944895543023,212.34656357893095,0.024513788805072323,-0.0017720902325065258
2022-11-04 21:58:32,0_217,115.281382,-31.71063,2.43,18.2,299.0,12.5,-5.224126911295506,5.699406887042785,2.317699342330399,9.957653727242949,211.8268151298093,0.018559604833058428,0.01088515121953033
2022-11-04 22:06:50,0_217,115.237947,-31.689738,2.55,18.4,300.0,12.5,-5.402262431536664,5.800003710873629,2.369882967629307,10.009711011095263,211.10907363438542,0.02398973688445584,-0.0002212976614674022
2022-11-04 22:15:27,0_217,115.191743,-31.669797,2.65,18.5,298.0,12.5,-5.530677434788059,5.8398268233772015,2.4250066652138083,10.05787308200889,210.32969351024556,0.035191839215056066,-0.08697918802248879
2022-11-04 22:23:38,0_217,115.147635,-31.651545,2.51,18.4,298.0,12.5,-5.653672660104023,5.873743028683865,2.477172249180505,10.09932501797418,209.57760156535002,0.02539124683529228,-0.16701054109653815
2022-11-04 22:31:50,0_217,115.10477,-31.63199,2.49,18.2,302.0,12.5,-5.7748451740906,5.895707586631401,2.527390434947745,10.13627148440385,208.83694041767438,0.009894204180679293,-0.2503700084961295
2022-11-04 22:41:02,0_217,115.05814,-31.60843,2.77,18.1,304.0,12.5,-5.907896488362177,5.905954080360345,2.581336136885825,10.172454988605798,208.0221249312082,0.0026870131818860403,-0.30941822045731704
2022-11-04 22:49:39,0_217,115.015368,-31.586163,2.56,17.8,304.0,12.5,-6.030556659674767,5.905687574042687,2.6300735183337105,10.201748494387997,207.2711638495333,0.006463068081692759,-0.3632402437717528
2022-11-04 22:58:03,0_217,114.973828,-31.56419,2.5,17.9,306.0,12.5,-6.132234456985023,5.8783093379995845,2.6559545145405017,10.220490943741254,206.8203782407965,0.0029331033374504697,-0.3985721573787618
2022-11-04 23:07:14,0_217,114.929567,-31.539082,2.72,17.8,306.0,12.5,-6.1939701594637935,5.833975527148028,2.6721793400434946,10.237265593202872,206.5078940310066,0.009910701962009178,-0.4361231626054031
2022-11-04 23:16:14,0_217,114.886585,-31.51402,2.67,17.8,307.0,12.5,-6.258558461455596,5.793669446592469,2.688938636844159,10.252027775417691,206.17970111027734,-0.003451199855750266,-0.4851498814361712
2022-11-04 23:25:26,0_217,114.84236,-31.488428,2.74,17.9,307.0,12.5,-6.345350529137349,5.7626026208674865,2.7052053232692694,10.26402306354308,205.83930520502736,-0.024730763549942136,-0.5247782433853647
2022-11-04 23:34:38,0_217,114.797632,-31.463118,2.75,17.9,307.0,12.5,-6.447306404957277,5.737963455009206,2.7207522498743604,10.273049812118638,205.49583686809586,-0.06038856212148498,-0.5280757854545115
2022-11-04 23:43:03,0_217,114.756613,-31.440098,2.52,18.0,307.0,12.5,-6.5491470453732115,5.712633013418334,2.7360611545364195,10.27945402666716,205.15328966536887,-0.09982109963002066,-0.5226909367043776
2022-11-04 23:51:20,0_217,114.716168,-31.416887,2.5,18.1,309.0,12.5,-6.613513741704837,5.65859187193854,2.7520057938973017,10.284125745113785,204.7917082132394,-0.10333631864020021,-0.4713029859207991
2022-11-04 23:59:32,0_217,114.676712,-31.39305,2.48,18.1,308.0,12.5,-6.675945230219,5.599503758229646,2.768263916620705,10.287389254875961,204.4173736012051,-0.09608692401759843,-0.4223776381527937
2022-11-05 00:08:44,0_217,114.632337,-31.366008,2.79,18.2,309.0,12.5,-6.655375094694395,5.609641379100097,2.7840345274941245,10.289939446331053,204.02964454000872,-0.08694910519763413,-0.3718457456106802
2022-11-05 00:17:56,0_217,114.588208,-31.33849,2.8,18.3,310.0,12.5,-6.642535005036197,5.617288836882139,2.8003750302790764,10.291228345738107,203.6243956677178,-0.06508993929992257,-0.3023384993410063
2022-11-05 00:25:50,0_217,114.550402,-31.314588,2.41,18.3,309.0,12.5,-6.642503913745912,5.616916603587787,2.8150374123749478,10.291457875266989,203.26066865346868,-0.048381860965956126,-0.3168530856179735
2022-11-05 00:33:02,0_217,114.51508,-31.294052,2.19,18.3,306.0,12.5,-6.654431074888563,5.61087590565785,2.82953617173477,10.290865187638657,202.90714539353596,-0.03689264029266269,-0.33817985851475835
2022-11-05 00:40:45,0_217,114.477123,-31.272368,2.34,18.2,306.0,12.5,-6.659617651756592,5.602973176587824,2.8351269417882703,10.296600743065168,202.70789377518116,-0.01573051119912979,-0.33532870798926406
2022-11-05 00:47:20,0_217,114.444645,-31.253922,2.0,18.2,306.0,12.5,-6.6638755797935385,5.601253532969766,2.834388384329853,10.304427129131343,202.63176836776398,0.009987902824034655,-0.31587060344455226
2022-11-05 00:51:50,0_217,114.422543,-31.241372,1.36,18.1,306.0,12.5,-6.668262132374475,5.607885493797115,2.8341038498041193,10.309143277589229,202.5715416527221,0.02589850537794037,-0.29758324333980934
2022-11-05 00:55:44,0_217,114.403338,-31.230468,1.18,18.2,305.0,12.5,-6.673957192007972,5.615718424655369,2.834006019488385,10.31282635086573,202.51374222771665,0.0351838160867375,-0.282675834498745
2022-11-05 01:00:39,0_217,114.3794,-31.216847,1.48,18.1,306.0,12.5,-6.678880494976923,5.629619399612069,2.8339556785070035,10.317247469318964,202.43971301036717,0.04495319554857555,-0.26559369693445256
